Year,Month,Make,Quantity,Pct,Cluster,PCA1,PCA2
2007,1,toyota,2884,22.7,1,8.121901249193478,0.31744519281841976
2007,1,volkswagen,2521,19.9,1,6.979880026582489,0.24812809852217813
2007,1,peugeot,1029,8.1,1,2.1126404057055477,-0.05700398074245332
2007,1,ford,870,6.9,1,1.626633409215556,-0.08567554395840353
2007,1,volvo,693,5.5,1,1.0555416713338255,-0.12109939212338416
2007,1,skoda,665,5.2,0,0.936835334143012,-0.1298414562358511
2007,1,opel,622,4.9,0,0.7963633545519796,-0.13889008209153944
2007,1,audi,599,4.7,0,0.7302272535839355,-0.14235051483719113
2007,1,honda,423,3.3,0,0.1444413164295468,-0.17977523292137423
2007,1,mercedes-benz,362,2.9,0,-0.024928892904412022,-0.18899747462437763
2007,1,bmw,352,2.8,0,-0.05512382166302017,-0.19061254812670275
2007,1,citroen,263,2.1,0,-0.3593816450225664,-0.2105976218304953
2007,1,suzuki,258,2.0,0,-0.3864531777373607,-0.21262261541559824
2007,1,mazda,191,1.5,0,-0.5908730171921542,-0.2247075550757175
2007,1,saab,169,1.3,0,-0.6759010788235955,-0.22364343075865284
2007,1,renault,168,1.3,0,-0.6804241807823974,-0.2311633399043143
2007,1,mitsubishi,136,1.1,0,-0.7582858275427977,-0.2346413730049581
2007,1,nissan,127,1.0,0,-0.787783223945943,-0.2363241170836639
2007,1,hyundai,97,0.8,0,-0.8890237214842424,-0.24310529973747802
2007,1,kia,55,0.4,0,-1.0390851575540754,-0.25297007326992144
2007,1,dodge,33,0.3,0,-1.0990112222240527,-0.24899726287921806
2007,1,mini,26,0.2,0,-1.136254409159409,-0.25939465315898547
2007,1,subaru,26,0.2,0,-1.1279474741274058,-0.2583246582226551
2007,1,lexus,22,0.2,0,-1.1437491358567562,-0.26000944239286206
2007,1,chevrolet,20,0.2,0,-1.1467026510660832,-0.2544603146807552
2007,1,alfa romeo,16,0.1,0,-1.1739420009576342,-0.26214192593971797
2007,1,daihatsu,15,0.1,0,-1.1694593113651708,-0.25352059086331097
2007,1,land rover,14,0.1,0,-1.1769990220008495,-0.2620206428573426
2007,1,fiat,9,0.1,0,-1.184738929874349,-0.2621850702697496
2007,1,chrysler,4,0.0,0,-1.205773289614714,-0.25679972022963676
2007,1,iveco,4,0.0,0,-1.203544353083564,-0.2587499876045043
2007,1,jaguar,3,0.0,0,-1.2156380749470879,-0.2643343199831582
2007,1,jeep,2,0.0,0,-1.216020715139658,-0.26420525280358315
2007,1,nilsson,2,0.0,0,-1.2100309543241472,-0.26438428521412966
2007,1,think,2,0.0,0,-1.21000250713259,-0.2600844212862783
2007,1,smart,1,0.0,0,-1.2183901962021633,-0.2638084578822882
2007,1,ssangyong,1,0.0,0,-1.21481705014708,-0.26221969442659565
2007,1,,1,0.0,0,-1.2052783613215867,-0.2620724149133103
2007,2,toyota,1885,19.2,1,5.746370764803539,0.41715680656890036
2007,2,volkswagen,1517,15.5,1,4.423032296674226,0.33101694715030866
2007,2,ford,686,7.0,1,1.3322498352064467,0.12439066678657638
2007,2,peugeot,621,6.3,1,1.0714450226352132,0.10598565127444927
2007,2,volvo,570,5.8,0,0.9035917274759245,0.09594927043442386
2007,2,opel,551,5.6,0,0.8098951930323098,0.08833172616065817
2007,2,audi,498,5.1,0,0.6349973167631302,0.07772894587823424
2007,2,skoda,463,4.7,0,0.4965594963101422,0.06821511419434431
2007,2,mercedes-benz,410,4.2,0,0.30675139903371684,0.055704938957717685
2007,2,honda,356,3.6,0,0.0879997549429935,0.04030683598144702
2007,2,bmw,335,3.4,0,0.031306528712757804,0.03769522772182403
2007,2,suzuki,264,2.7,0,-0.24159731349642696,0.0187701265609926
2007,2,mitsubishi,262,2.7,0,-0.23597943255666376,0.019803450695349327
2007,2,citroen,247,2.5,0,-0.3096435014582901,0.014086116372896655
2007,2,mazda,239,2.4,0,-0.3359881525331483,0.012638447275214787
2007,2,saab,175,1.8,0,-0.5694429282222233,0.0040711056023564896
2007,2,hyundai,149,1.5,0,-0.6657145431525586,-0.009220831120340608
2007,2,nissan,134,1.4,0,-0.6988184233362917,-0.010394515559998674
2007,2,kia,119,1.2,0,-0.7761110404658933,-0.016596486199633196
2007,2,renault,84,0.9,0,-0.9002513560844322,-0.024875846153621657
2007,2,chevrolet,35,0.4,0,-1.082491509471515,-0.031775575009098105
2007,2,mini,32,0.3,0,-1.1065916858371596,-0.039036528029139095
2007,2,land rover,30,0.3,0,-1.1110823735782216,-0.039281735215238846
2007,2,dodge,24,0.2,0,-1.1333288149622613,-0.03312986292165322
2007,2,daihatsu,22,0.2,0,-1.1380910812148615,-0.03310829776301799
2007,2,subaru,18,0.2,0,-1.1413607032177742,-0.04056398748685282
2007,2,lexus,17,0.2,0,-1.1520458444629453,-0.04208626774571975
2007,2,alfa romeo,9,0.1,0,-1.1856497232199428,-0.044327087233469044
2007,2,fiat,6,0.1,0,-1.1896246248244184,-0.04415355968171401
2007,2,jeep,6,0.1,0,-1.1897690054735284,-0.04395546361463015
2007,2,nilsson,6,0.1,0,-1.1837792446580175,-0.04413449602517667
2007,2,chrysler,5,0.1,0,-1.1846381004327635,-0.03671243495202372
2007,2,jaguar,5,0.1,0,-1.1927973789370776,-0.044192866735098535
2007,2,smart,5,0.1,0,-1.1921384865360334,-0.04355866869333515
2007,2,chevrolet us,3,0.0,0,-1.213863155248551,-0.040865361294554405
2007,2,ssangyong,2,0.0,0,-1.2128807177849104,-0.0439715119567734
2007,2,porsche,2,0.0,0,-1.2165340344524995,-0.04594614000733825
2007,2,cadillac,1,0.0,0,-1.208435444091434,-0.04344095720340841
2007,3,toyota,1833,16.3,1,5.1011483875048995,0.5792001051791172
2007,3,volkswagen,1428,12.7,1,3.733905023557155,0.4928951336617897
2007,3,peugeot,867,7.7,1,1.76001452334896,0.36325242581277484
2007,3,ford,766,6.8,1,1.430523493345778,0.34323991330610343
2007,3,audi,682,6.1,1,1.1410299668580473,0.32428089501770363
